N,M_PN,abs_diff_from_limit,gap_from_previous,K,U,Q,R
672,1.25557210615243943314930302126843574642876171704320135297535278630461605563441909799438780340744052886109320750588675607,1.380684e-04,6.181448e-04,45,582,88,2
674,1.25550544157612345177542119305636724535200930330580956609789274799900539622221137096600200917048637800068470222204223362,7.140385e-05,6.666458e-05,46,582,92,0
676,1.25542999065822987215985291026798971408433784293647965305663549434934576882932827428973666141212914188210261290772691263,4.047069e-06,7.545092e-05,45,586,88,2
678,1.25566018779421825356612639613792952316664694213361943063750930160540741321966048830786994443780701064827500072697577069,2.261501e-04,2.301971e-04,46,586,92,0
680,1.25524745102878943150659292439734405642435389440692326283809233389124667381011776446386254174844088690732157973092449263,1.865867e-04,4.127368e-04,45,590,88,2
682,1.25566749187919707617483800347513856691842365194112031739459084087814425529868786235032210583753107118870326998837104772,2.334542e-04,4.200409e-04,46,590,92,0
684,1.25503170897606638042163180866007189516458683537531852981769162491723705526809311650094118446339403170257870701661566867,4.023288e-04,6.357829e-04,45,594,88,2
686,1.25559615370190710623917338533539415439146737527242669922593428243483969217552640155157511852244176170704798716617086000,1.621160e-04,5.644447e-04,46,594,92,0
688,1.25541013862018252681717016032260391645786114278959551880763063351975700285761326048511125232574835953353152904156131234,2.389911e-05,1.860151e-04,47,594,92,2
690,1.25547064628817873854557236530967973387196159815998296242345587248638370866296672369262703298250614786790866497526360355,3.660856e-05,6.050767e-05,46,598,92,0
692,1.25563223195284932347651426501637492981407849550703858138718926735350861399411660260768801052444715235690392020459536750,1.981942e-04,1.615857e-04,47,598,92,2
694,1.25530358844494419442914415787991515990061524577158105677652011839844829731489697118718876882593100103974541995693737999,1.304493e-04,3.286435e-04,46,602,92,0
696,1.25566693996570696021913044454605893339427680403275529711273762508437554898784756284082902736080229274538166351890693482,2.329022e-04,3.633515e-04,47,602,92,2
698,1.25510275002670714523663944337252375386231547845435519701425355900746207353410123764555842932613890270177420793385671874,3.312877e-04,5.641899e-04,46,606,92,0
700,1.25561497960186745065886484676398857243068329044193985621087616574463329773860964107179187831206510057078947239880628767,1.809419e-04,5.122296e-04,47,606,92,2
702,1.25525835486344271632794644480244899083940068234966411333541708012242924062180350141664432842505761155211133202430740288,1.756829e-04,3.566247e-04,48,606,96,0
704,1.25550591344802201539881201632526130404612313516054167297065333584552964328896654297397436699240733520841820339028626037,7.187572e-05,2.475586e-04,47,610,92,2
706,1.25559503359156231855236602987949076578372845520177023547723685045976339535734064975814778260615642818698317801102515622,1.609959e-04,8.912014e-05,48,610,96,0
708,1.25535395901807456116707990038415828783754643534525475399794569795264419033459131318750887596519084462800191830885651932,8.007871e-05,2.410746e-04,47,614,92,2
